Period,Continent,TotalPopulation
2016-07-01,NHS ENGLAND MIDLANDS ,10692
2016-07-01,NHS ENGLAND EAST OF ENGLAND ,21391
2016-07-01,NHS ENGLAND EAST OF ENGLAND ,15291
2016-07-01,NHS ENGLAND EAST OF ENGLAND ,22070
2016-07-01,NHS ENGLAND EAST OF ENGLAND ,13127
2016-07-01,NHS ENGLAND SOUTH WEST ,23268
2016-07-01,NHS ENGLAND SOUTH WEST ,14478
2016-07-01,NHS ENGLAND SOUTH EAST ,14980
2016-07-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,18375
2016-07-01,NHS ENGLAND SOUTH EAST ,2742
2016-07-01,NHS ENGLAND SOUTH EAST ,8514
2016-07-01,NHS ENGLAND LONDON,13518
2016-07-01,NHS ENGLAND LONDON,27637
2016-07-01,NHS ENGLAND LONDON,17728
2016-07-01,NHS ENGLAND LONDON,7982
2016-07-01,NHS ENGLAND SOUTH WEST ,9179
2016-07-01,NHS ENGLAND MIDLANDS ,10077
2016-07-01,NHS ENGLAND MIDLANDS ,10031
2016-07-01,NHS ENGLAND MIDLANDS ,16453
2016-07-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,11613
2016-07-01,NHS ENGLAND NORTH WEST ,6146
2016-07-01,NHS ENGLAND NORTH WEST ,2389
2016-07-01,NHS ENGLAND LONDON,21202
2016-07-01,NHS ENGLAND MIDLANDS ,6483
2016-07-01,NHS ENGLAND SOUTH WEST ,13334
2016-07-01,NHS ENGLAND MIDLANDS ,17778
2016-07-01,NHS ENGLAND LONDON,16529
2016-07-01,NHS ENGLAND MIDLANDS ,2527
2016-07-01,NHS ENGLAND MIDLANDS ,22561
2016-07-01,NHS ENGLAND MIDLANDS ,9853
2016-07-01,NHS ENGLAND MIDLANDS ,11523
2016-07-01,NHS ENGLAND EAST OF ENGLAND ,17851
2016-07-01,NHS ENGLAND NORTH WEST ,32046
2016-07-01,NHS ENGLAND NORTH WEST ,20088
2016-07-01,NHS ENGLAND NORTH WEST ,16190
2016-07-01,NHS ENGLAND SOUTH WEST ,14329
2016-07-01,NHS ENGLAND SOUTH EAST ,6838
2016-07-01,NHS ENGLAND SOUTH EAST ,13688
2016-07-01,NHS ENGLAND MIDLANDS ,20968
2016-07-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,11145
2016-07-01,NHS ENGLAND MIDLANDS ,7696
2016-07-01,NHS ENGLAND MIDLANDS ,23333
2016-07-01,NHS ENGLAND SOUTH EAST ,0
2016-07-01,NHS ENGLAND SOUTH WEST ,12239
2016-07-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,29499
2016-07-01,NHS ENGLAND LONDON,1286
2016-07-01,NHS ENGLAND SOUTH EAST ,19825
2016-07-01,NHS ENGLAND SOUTH EAST ,3698
2016-07-01,NHS ENGLAND MIDLANDS ,17628
2016-07-01,NHS ENGLAND LONDON,35940
2016-07-01,NHS ENGLAND EAST OF ENGLAND ,12853
2016-07-01,NHS ENGLAND LONDON,17350
2016-07-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,13986
2016-07-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,31869
2016-07-01,NHS ENGLAND NORTH WEST ,10053
2016-07-01,NHS ENGLAND MIDLANDS ,39341
2016-07-01,NHS ENGLAND LONDON,14693
2016-07-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,16835
2016-07-01,NHS ENGLAND SOUTH WEST ,17211
2016-07-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,18859
2016-07-01,NHS ENGLAND MIDLANDS ,23179
2016-07-01,NHS ENGLAND SOUTH EAST ,20397
2016-07-01,NHS ENGLAND SOUTH EAST ,7062
2016-07-01,NHS ENGLAND SOUTH EAST ,11149
2016-07-01,NHS ENGLAND SOUTH WEST ,9108
2016-07-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,11633
2016-07-01,NHS ENGLAND NORTH WEST ,15545
2016-07-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,590
2016-07-01,NHS ENGLAND SOUTH WEST ,15726
2016-07-01,NHS ENGLAND LONDON,15468
2016-07-01,NHS ENGLAND SOUTH EAST ,31213
2016-07-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,18198
2016-07-01,NHS ENGLAND NORTH WEST ,7089
2016-07-01,NHS ENGLAND SOUTH EAST ,17479
2016-07-01,NHS ENGLAND NORTH WEST ,15576
2016-07-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,13871
2016-07-01,NHS ENGLAND MIDLANDS ,12084
2016-07-01,NHS ENGLAND MIDLANDS ,13468
2016-07-01,NHS ENGLAND SOUTH EAST ,15341
2016-07-01,NHS ENGLAND EAST OF ENGLAND ,19289
2016-07-01,NHS ENGLAND EAST OF ENGLAND ,10000
2016-07-01,NHS ENGLAND NORTH WEST ,9640
2016-07-01,NHS ENGLAND MIDLANDS ,24653
2016-07-01,NHS ENGLAND NORTH WEST ,10895
2016-07-01,NHS ENGLAND SOUTH EAST ,4131
2016-07-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,18605
2016-07-01,NHS ENGLAND MIDLANDS ,14108
2016-07-01,NHS ENGLAND SOUTH EAST ,20778
2016-07-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,17181
2016-07-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,3136
2016-07-01,NHS ENGLAND MIDLANDS ,31089
2016-07-01,NHS ENGLAND NORTH WEST ,16729
2016-07-01,NHS ENGLAND NORTH WEST ,10081
2016-07-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,24692
2016-07-01,NHS ENGLAND SOUTH EAST ,5137
2016-07-01,NHS ENGLAND NORTH WEST ,11023
2016-07-01,NHS ENGLAND MIDLANDS ,20242
2016-07-01,NHS ENGLAND NORTH WEST ,3341
2016-07-01,NHS ENGLAND EAST OF ENGLAND ,723
2016-07-01,NHS ENGLAND MIDLANDS ,22132
2016-07-01,NHS ENGLAND NORTH WEST ,1898
2016-07-01,NHS ENGLAND MIDLANDS ,13394
2016-07-01,NHS ENGLAND LONDON,908
2016-07-01,NHS ENGLAND SOUTH WEST ,5448
2016-07-01,NHS ENGLAND MIDLANDS ,3803
2016-07-01,NHS ENGLAND LONDON,20525
2016-07-01,NHS ENGLAND SOUTH EAST ,31993
2016-07-01,NHS ENGLAND LONDON,14489
2016-07-01,NHS ENGLAND SOUTH EAST ,18938
2016-07-01,NHS ENGLAND SOUTH EAST ,0
2016-07-01,NHS ENGLAND LONDON,7630
2016-07-01,NHS ENGLAND EAST OF ENGLAND ,7595
2016-07-01,NHS ENGLAND NORTH WEST ,9867
2016-07-01,NHS ENGLAND MIDLANDS ,9814
2016-07-01,NHS ENGLAND SOUTH EAST ,1394
2016-07-01,NHS ENGLAND MIDLANDS ,7933
2016-07-01,NHS ENGLAND SOUTH EAST ,6021
2016-07-01,NHS ENGLAND LONDON,6157
2016-07-01,NHS ENGLAND MIDLANDS ,7238
2016-07-01,NHS ENGLAND SOUTH EAST ,655
2016-08-01,NHS ENGLAND MIDLANDS ,7793
2016-08-01,NHS ENGLAND SOUTH WEST ,8748
2016-08-01,NHS ENGLAND NORTH WEST ,0
2016-08-01,NHS ENGLAND SOUTH EAST ,17855
2016-08-01,NHS ENGLAND LONDON,6950
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,7252
2016-08-01,NHS ENGLAND SOUTH EAST ,6047
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,1651
2016-08-01,NHS ENGLAND SOUTH WEST ,11161
2016-08-01,NHS ENGLAND MIDLANDS ,624
2016-08-01,NHS ENGLAND MIDLANDS ,1919
2016-08-01,NHS ENGLAND MIDLANDS ,0
2016-08-01,NHS ENGLAND MIDLANDS ,4065
2016-08-01,NHS ENGLAND SOUTH WEST ,1828
2016-08-01,NHS ENGLAND EAST OF ENGLAND ,11859
2016-08-01,NHS ENGLAND SOUTH EAST ,15408
2016-08-01,NHS ENGLAND SOUTH WEST ,4582
2016-08-01,NHS ENGLAND SOUTH EAST ,4907
2016-08-01,NHS ENGLAND SOUTH EAST ,8231
2016-08-01,NHS ENGLAND MIDLANDS ,9291
2016-08-01,NHS ENGLAND MIDLANDS ,17677
2016-08-01,NHS ENGLAND SOUTH WEST ,15759
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,859
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,7988
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,5306
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,759
2016-08-01,NHS ENGLAND MIDLANDS ,11704
2016-08-01,NHS ENGLAND MIDLANDS ,8088
2016-08-01,NHS ENGLAND MIDLANDS ,10055
2016-08-01,NHS ENGLAND MIDLANDS ,3614
2016-08-01,NHS ENGLAND MIDLANDS ,0
2016-08-01,NHS ENGLAND MIDLANDS ,8080
2016-08-01,NHS ENGLAND MIDLANDS ,0
2016-08-01,NHS ENGLAND SOUTH EAST ,4465
2016-08-01,NHS ENGLAND SOUTH EAST ,6251
2016-08-01,NHS ENGLAND NORTH WEST ,10518
2016-08-01,NHS ENGLAND SOUTH WEST ,7197
2016-08-01,NHS ENGLAND MIDLANDS ,7471
2016-08-01,NHS ENGLAND MIDLANDS ,8981
2016-08-01,NHS ENGLAND SOUTH EAST ,7185
2016-08-01,NHS ENGLAND SOUTH EAST ,5698
2016-08-01,NHS ENGLAND SOUTH EAST ,4889
2016-08-01,NHS ENGLAND SOUTH EAST ,5218
2016-08-01,NHS ENGLAND NORTH WEST ,0
2016-08-01,NHS ENGLAND NORTH WEST ,27459
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,16735
2016-08-01,NHS ENGLAND SOUTH WEST ,27665
2016-08-01,NHS ENGLAND MIDLANDS ,7493
2016-08-01,NHS ENGLAND SOUTH EAST ,8905
2016-08-01,NHS ENGLAND LONDON,33941
2016-08-01,NHS ENGLAND LONDON,32462
2016-08-01,NHS ENGLAND SOUTH EAST ,17507
2016-08-01,NHS ENGLAND SOUTH WEST ,3680
2016-08-01,NHS ENGLAND SOUTH WEST ,16810
2016-08-01,NHS ENGLAND SOUTH WEST ,15299
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,13271
2016-08-01,NHS ENGLAND EAST OF ENGLAND ,24100
2016-08-01,NHS ENGLAND LONDON,23652
2016-08-01,NHS ENGLAND LONDON,2474
2016-08-01,NHS ENGLAND LONDON,22460
2016-08-01,NHS ENGLAND LONDON,30314
2016-08-01,NHS ENGLAND LONDON,7249
2016-08-01,NHS ENGLAND LONDON,15791
2016-08-01,NHS ENGLAND SOUTH WEST ,5852
2016-08-01,NHS ENGLAND MIDLANDS ,13949
2016-08-01,NHS ENGLAND NORTH WEST ,11813
2016-08-01,NHS ENGLAND NORTH WEST ,12241
2016-08-01,NHS ENGLAND NORTH WEST ,6659
2016-08-01,NHS ENGLAND NORTH WEST ,15306
2016-08-01,NHS ENGLAND NORTH WEST ,2835
2016-08-01,NHS ENGLAND NORTH WEST ,8428
2016-08-01,NHS ENGLAND EAST OF ENGLAND ,25622
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,31833
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,11430
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,1448
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,13278
2016-08-01,NHS ENGLAND EAST OF ENGLAND ,8404
2016-08-01,NHS ENGLAND SOUTH WEST ,15674
2016-08-01,NHS ENGLAND EAST OF ENGLAND ,12420
2016-08-01,NHS ENGLAND EAST OF ENGLAND ,20985
2016-08-01,NHS ENGLAND SOUTH EAST ,11231
2016-08-01,NHS ENGLAND SOUTH EAST ,28517
2016-08-01,NHS ENGLAND SOUTH WEST ,1079
2016-08-01,NHS ENGLAND SOUTH WEST ,19075
2016-08-01,NHS ENGLAND NORTH WEST ,26627
2016-08-01,NHS ENGLAND NORTH WEST ,5197
2016-08-01,NHS ENGLAND NORTH WEST ,5934
2016-08-01,NHS ENGLAND LONDON,26526
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,17556
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,6259
2016-08-01,NHS ENGLAND MIDLANDS ,18148
2016-08-01,NHS ENGLAND EAST OF ENGLAND ,19597
2016-08-01,NHS ENGLAND EAST OF ENGLAND ,12028
2016-08-01,NHS ENGLAND EAST OF ENGLAND ,9766
2016-08-01,NHS ENGLAND EAST OF ENGLAND ,19199
2016-08-01,NHS ENGLAND SOUTH WEST ,9758
2016-08-01,NHS ENGLAND SOUTH WEST ,13088
2016-08-01,NHS ENGLAND SOUTH EAST ,28063
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,28226
2016-08-01,NHS ENGLAND SOUTH EAST ,21068
2016-08-01,NHS ENGLAND SOUTH EAST ,14427
2016-08-01,NHS ENGLAND LONDON,18497
2016-08-01,NHS ENGLAND LONDON,27944
2016-08-01,NHS ENGLAND LONDON,13222
2016-08-01,NHS ENGLAND LONDON,20337
2016-08-01,NHS ENGLAND SOUTH WEST ,3353
2016-08-01,NHS ENGLAND MIDLANDS ,1195
2016-08-01,NHS ENGLAND MIDLANDS ,16278
2016-08-01,NHS ENGLAND MIDLANDS ,24514
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,19345
2016-08-01,NHS ENGLAND NORTH WEST ,8341
2016-08-01,NHS ENGLAND NORTH WEST ,13142
2016-08-01,NHS ENGLAND LONDON,14764
2016-08-01,NHS ENGLAND MIDLANDS ,16752
2016-08-01,NHS ENGLAND SOUTH WEST ,21906
2016-08-01,NHS ENGLAND MIDLANDS ,27859
2016-08-01,NHS ENGLAND LONDON,14045
2016-08-01,NHS ENGLAND MIDLANDS ,4329
2016-08-01,NHS ENGLAND MIDLANDS ,17302
2016-08-01,NHS ENGLAND MIDLANDS ,595
2016-08-01,NHS ENGLAND MIDLANDS ,4872
2016-08-01,NHS ENGLAND EAST OF ENGLAND ,22105
2016-08-01,NHS ENGLAND NORTH WEST ,41241
2016-08-01,NHS ENGLAND NORTH WEST ,9189
2016-08-01,NHS ENGLAND NORTH WEST ,14287
2016-08-01,NHS ENGLAND SOUTH WEST ,12412
2016-08-01,NHS ENGLAND SOUTH EAST ,14474
2016-08-01,NHS ENGLAND SOUTH EAST ,19167
2016-08-01,NHS ENGLAND MIDLANDS ,17335
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,7953
2016-08-01,NHS ENGLAND MIDLANDS ,15720
2016-08-01,NHS ENGLAND MIDLANDS ,18349
2016-08-01,NHS ENGLAND SOUTH EAST ,6943
2016-08-01,NHS ENGLAND SOUTH WEST ,7378
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,16162
2016-08-01,NHS ENGLAND LONDON,12869
2016-08-01,NHS ENGLAND SOUTH EAST ,18436
2016-08-01,NHS ENGLAND SOUTH EAST ,1471
2016-08-01,NHS ENGLAND MIDLANDS ,5355
2016-08-01,NHS ENGLAND LONDON,38398
2016-08-01,NHS ENGLAND EAST OF ENGLAND ,5239
2016-08-01,NHS ENGLAND LONDON,15160
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,13327
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,27697
2016-08-01,NHS ENGLAND NORTH WEST ,3108
2016-08-01,NHS ENGLAND MIDLANDS ,39278
2016-08-01,NHS ENGLAND LONDON,17388
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,28173
2016-08-01,NHS ENGLAND SOUTH WEST ,14262
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,16066
2016-08-01,NHS ENGLAND MIDLANDS ,20908
2016-08-01,NHS ENGLAND SOUTH EAST ,19621
2016-08-01,NHS ENGLAND SOUTH EAST ,24464
2016-08-01,NHS ENGLAND SOUTH EAST ,14185
2016-08-01,NHS ENGLAND SOUTH WEST ,5869
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,24700
2016-08-01,NHS ENGLAND NORTH WEST ,5745
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,3726
2016-08-01,NHS ENGLAND SOUTH WEST ,7704
2016-08-01,NHS ENGLAND LONDON,18336
2016-08-01,NHS ENGLAND SOUTH EAST ,23042
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,22363
2016-08-01,NHS ENGLAND NORTH WEST ,18037
2016-08-01,NHS ENGLAND SOUTH EAST ,8273
2016-08-01,NHS ENGLAND NORTH WEST ,12109
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,12058
2016-08-01,NHS ENGLAND MIDLANDS ,12886
2016-08-01,NHS ENGLAND MIDLANDS ,29963
2016-08-01,NHS ENGLAND SOUTH EAST ,23189
2016-08-01,NHS ENGLAND EAST OF ENGLAND ,12775
2016-08-01,NHS ENGLAND EAST OF ENGLAND ,18302
2016-08-01,NHS ENGLAND NORTH WEST ,17661
2016-08-01,NHS ENGLAND MIDLANDS ,22444
2016-08-01,NHS ENGLAND NORTH WEST ,17160
2016-08-01,NHS ENGLAND SOUTH EAST ,2021
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,25441
2016-08-01,NHS ENGLAND MIDLANDS ,16411
2016-08-01,NHS ENGLAND SOUTH EAST ,10793
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,39849
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,1642
2016-08-01,NHS ENGLAND MIDLANDS ,34892
2016-08-01,NHS ENGLAND NORTH WEST ,23150
2016-08-01,NHS ENGLAND NORTH WEST ,31031
2016-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,24431
2016-08-01,NHS ENGLAND SOUTH EAST ,29976
2016-08-01,NHS ENGLAND NORTH WEST ,16689
2016-08-01,NHS ENGLAND MIDLANDS ,7849
2016-08-01,NHS ENGLAND NORTH WEST ,14499
2016-08-01,NHS ENGLAND EAST OF ENGLAND ,5766
2016-08-01,NHS ENGLAND MIDLANDS ,21117
2016-08-01,NHS ENGLAND NORTH WEST ,6759
2016-08-01,NHS ENGLAND MIDLANDS ,10076
2016-08-01,NHS ENGLAND LONDON,10355
2016-08-01,NHS ENGLAND SOUTH WEST ,4128
2016-08-01,NHS ENGLAND MIDLANDS ,9988
2016-08-01,NHS ENGLAND LONDON,19150
2016-08-01,NHS ENGLAND SOUTH EAST ,22272
2016-08-01,NHS ENGLAND LONDON,14759
2016-08-01,NHS ENGLAND SOUTH EAST ,10067
2016-08-01,NHS ENGLAND SOUTH EAST ,4429
2016-08-01,NHS ENGLAND LONDON,2482
2016-08-01,NHS ENGLAND EAST OF ENGLAND ,12641
2016-08-01,NHS ENGLAND NORTH WEST ,4226
2016-08-01,NHS ENGLAND MIDLANDS ,7275
2016-08-01,NHS ENGLAND SOUTH EAST ,4836
2016-08-01,NHS ENGLAND MIDLANDS ,0
2016-08-01,NHS ENGLAND SOUTH EAST ,4296
2016-08-01,NHS ENGLAND LONDON,0
2016-08-01,NHS ENGLAND MIDLANDS ,7782
2016-08-01,NHS ENGLAND SOUTH EAST ,6885
2016-09-01,NHS ENGLAND MIDLANDS ,2226
2016-09-01,NHS ENGLAND SOUTH WEST ,902
2016-09-01,NHS ENGLAND NORTH WEST ,0
2016-09-01,NHS ENGLAND SOUTH EAST ,19780
2016-09-01,NHS ENGLAND LONDON,6422
2016-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,12183
2016-09-01,NHS ENGLAND SOUTH EAST ,10018
2016-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,8283
2016-09-01,NHS ENGLAND SOUTH WEST ,9130
2016-09-01,NHS ENGLAND MIDLANDS ,0
2016-09-01,NHS ENGLAND MIDLANDS ,4593
2016-09-01,NHS ENGLAND MIDLANDS ,0
2016-09-01,NHS ENGLAND MIDLANDS ,6304
2016-09-01,NHS ENGLAND SOUTH WEST ,0
2016-09-01,NHS ENGLAND EAST OF ENGLAND ,5182
2016-09-01,NHS ENGLAND SOUTH EAST ,893
2016-09-01,NHS ENGLAND SOUTH WEST ,7124
2016-09-01,NHS ENGLAND SOUTH EAST ,10787
2016-09-01,NHS ENGLAND SOUTH EAST ,408
2016-09-01,NHS ENGLAND MIDLANDS ,5242
2016-09-01,NHS ENGLAND MIDLANDS ,5043
2016-09-01,NHS ENGLAND SOUTH WEST ,14791
2016-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,9353
2016-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,662
2016-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,9604
2016-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,1220
2016-09-01,NHS ENGLAND MIDLANDS ,8743
2016-09-01,NHS ENGLAND MIDLANDS ,13615
2016-09-01,NHS ENGLAND MIDLANDS ,3856
2016-09-01,NHS ENGLAND MIDLANDS ,109
2016-09-01,NHS ENGLAND MIDLANDS ,13199
2016-09-01,NHS ENGLAND MIDLANDS ,0
2016-09-01,NHS ENGLAND MIDLANDS ,0
2016-09-01,NHS ENGLAND SOUTH EAST ,6458
2016-09-01,NHS ENGLAND SOUTH EAST ,16175
2016-09-01,NHS ENGLAND NORTH WEST ,2710
2016-09-01,NHS ENGLAND SOUTH WEST ,3912
2016-09-01,NHS ENGLAND MIDLANDS ,8850
2016-09-01,NHS ENGLAND MIDLANDS ,0
2016-09-01,NHS ENGLAND SOUTH EAST ,9545
2016-09-01,NHS ENGLAND SOUTH EAST ,10012
2016-09-01,NHS ENGLAND SOUTH EAST ,8687
2016-09-01,NHS ENGLAND SOUTH EAST ,1159
2016-09-01,NHS ENGLAND NORTH WEST ,2601
2016-09-01,NHS ENGLAND NORTH WEST ,39857
2016-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,29805
2016-09-01,NHS ENGLAND SOUTH WEST ,14571
2016-09-01,NHS ENGLAND MIDLANDS ,9148
2016-09-01,NHS ENGLAND SOUTH EAST ,14647
2016-09-01,NHS ENGLAND LONDON,43838
2016-09-01,NHS ENGLAND LONDON,36345
2016-09-01,NHS ENGLAND SOUTH EAST ,10956
2016-09-01,NHS ENGLAND SOUTH WEST ,3465
2016-09-01,NHS ENGLAND SOUTH WEST ,17980
2016-09-01,NHS ENGLAND SOUTH WEST ,7152
2016-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,10240
2016-09-01,NHS ENGLAND EAST OF ENGLAND ,30009
2016-09-01,NHS ENGLAND LONDON,37762
2016-09-01,NHS ENGLAND LONDON,11633
2016-09-01,NHS ENGLAND LONDON,15406
2016-09-01,NHS ENGLAND LONDON,20806
2016-09-01,NHS ENGLAND LONDON,7673
2016-09-01,NHS ENGLAND LONDON,20304
2016-09-01,NHS ENGLAND SOUTH WEST ,11691
2016-09-01,NHS ENGLAND MIDLANDS ,29291
2016-09-01,NHS ENGLAND NORTH WEST ,11584
2016-09-01,NHS ENGLAND NORTH WEST ,18333
2016-09-01,NHS ENGLAND NORTH WEST ,5235
2016-09-01,NHS ENGLAND NORTH WEST ,16676
2016-09-01,NHS ENGLAND NORTH WEST ,12743
2016-09-01,NHS ENGLAND NORTH WEST ,6956
2016-09-01,NHS ENGLAND EAST OF ENGLAND ,26105
2016-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,20296
2016-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,8254
2016-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,1574
2016-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,13855
2016-09-01,NHS ENGLAND EAST OF ENGLAND ,5613
2016-09-01,NHS ENGLAND SOUTH WEST ,11461
2016-09-01,NHS ENGLAND EAST OF ENGLAND ,10814
2016-09-01,NHS ENGLAND EAST OF ENGLAND ,24709
2016-09-01,NHS ENGLAND SOUTH EAST ,23488
2016-09-01,NHS ENGLAND SOUTH EAST ,16473
2016-09-01,NHS ENGLAND SOUTH WEST ,5282
2016-09-01,NHS ENGLAND SOUTH WEST ,26354
2016-09-01,NHS ENGLAND NORTH WEST ,26899
2016-09-01,NHS ENGLAND NORTH WEST ,8133
2016-09-01,NHS ENGLAND NORTH WEST ,10430
2016-09-01,NHS ENGLAND LONDON,32110
2016-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,9125
2016-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,12191
2016-09-01,NHS ENGLAND MIDLANDS ,16227
2016-09-01,NHS ENGLAND EAST OF ENGLAND ,15686
2016-09-01,NHS ENGLAND EAST OF ENGLAND ,3149
2016-09-01,NHS ENGLAND EAST OF ENGLAND ,11032
2016-09-01,NHS ENGLAND EAST OF ENGLAND ,16153
2016-09-01,NHS ENGLAND SOUTH WEST ,13312
2016-09-01,NHS ENGLAND SOUTH WEST ,8005
2016-09-01,NHS ENGLAND SOUTH EAST ,22579
2016-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,21182
2016-09-01,NHS ENGLAND SOUTH EAST ,10469
2016-09-01,NHS ENGLAND SOUTH EAST ,18494
2016-09-01,NHS ENGLAND LONDON,20686
2016-09-01,NHS ENGLAND LONDON,27269
2016-09-01,NHS ENGLAND LONDON,16569
2016-09-01,NHS ENGLAND LONDON,9544
2016-09-01,NHS ENGLAND SOUTH WEST ,8329
2016-09-01,NHS ENGLAND MIDLANDS ,6702
2016-09-01,NHS ENGLAND MIDLANDS ,16095
2016-09-01,NHS ENGLAND MIDLANDS ,32426
2016-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,18886
2016-09-01,NHS ENGLAND NORTH WEST ,9388
2016-09-01,NHS ENGLAND NORTH WEST ,8805
2016-09-01,NHS ENGLAND LONDON,34159
2016-09-01,NHS ENGLAND MIDLANDS ,15854
2016-09-01,NHS ENGLAND SOUTH WEST ,18738
2016-09-01,NHS ENGLAND MIDLANDS ,23361
2016-09-01,NHS ENGLAND LONDON,9484
2016-09-01,NHS ENGLAND MIDLANDS ,6851
2016-09-01,NHS ENGLAND MIDLANDS ,28656
2016-09-01,NHS ENGLAND MIDLANDS ,11282
2016-09-01,NHS ENGLAND MIDLANDS ,20894
2016-09-01,NHS ENGLAND EAST OF ENGLAND ,11538
2016-09-01,NHS ENGLAND NORTH WEST ,36108
2016-09-01,NHS ENGLAND NORTH WEST ,15901
2016-09-01,NHS ENGLAND NORTH WEST ,23502
2016-09-01,NHS ENGLAND SOUTH WEST ,10581
2016-09-01,NHS ENGLAND SOUTH EAST ,10165
2016-09-01,NHS ENGLAND SOUTH EAST ,27534
2016-09-01,NHS ENGLAND MIDLANDS ,26465
2016-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,19379
2016-09-01,NHS ENGLAND MIDLANDS ,15469
2016-09-01,NHS ENGLAND MIDLANDS ,18965
2016-09-01,NHS ENGLAND SOUTH EAST ,485
2016-09-01,NHS ENGLAND SOUTH WEST ,18966
2016-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,12480
2016-09-01,NHS ENGLAND LONDON,13745
2016-09-01,NHS ENGLAND SOUTH EAST ,10967
2016-09-01,NHS ENGLAND SOUTH EAST ,1806
2016-09-01,NHS ENGLAND MIDLANDS ,13283
2016-09-01,NHS ENGLAND LONDON,28814
2016-09-01,NHS ENGLAND EAST OF ENGLAND ,12664
2016-09-01,NHS ENGLAND LONDON,16703
2016-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,9787
2016-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,31553
2016-09-01,NHS ENGLAND NORTH WEST ,9002
